Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Senseforth AI Research Private Limited,Fractal Analytics Australia Pty Limited,Revenue from operation,-,-,-,18,-
Senseforth AI Research Private Limited,"Senseforth, Inc",Cost of delivery -- Ancillary,-,-,0,-,-
Senseforth AI Research Private Limited,"Senseforth, Inc",Revenue from operation,-,0,0,46,55
Senseforth AI Research Private Limited,"Senseforth, Inc",Royalty Expenses/ Licensing fees,-,-,-,1,6
"Senseforth, Inc","Fractal Analytics Inc, USA",Revenue from operation,-,2,8,27,-
"Senseforth, Inc","Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,22,12
"Senseforth, Inc","4i Consulting, Inc","Expenses incurred for the company to(creating payable
position)",-,-,-,-,1
"Senseforth, Inc",Fractal Analytics Australia Pty Limited,Revenue from operation,-,-,-,-,2
"Senseforth, Inc",Fractal Analytics Australia Pty Limited,Cost of delivery,-,-,-,-,0
"Senseforth, Inc",Fractal Analytics Australia Pty Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,2
"Senseforth, Inc",Senseforth AI Research Private Limited,Cost of delivery,-,-,0,45,54
"Senseforth, Inc",Senseforth AI Research Private Limited,Revenue from operation,-,-,0,-,-
"Senseforth, Inc",Senseforth AI Research Private Limited,Royalty Income/ Licensing fees,-,-,-,-,6
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,-,-,-,11
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,11
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,-,-,-,0
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,-,1,-
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,-,0
Neal Analytics Services Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Slump sale consideration received,-,-,-,78,-
Neal Analytics Services Private Limited,Neal Analytics LLC,Revenue from operation,-,-,-,0,350
Neal Analytics LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,-,-,-,-,19
Neal Analytics LLC,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,-,168
Neal Analytics LLC,"Fractal Analytics Inc, USA","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,80
Neal Analytics LLC,"Fractal Analytics Inc, USA",Interest expense,-,-,-,-,2
Neal Analytics LLC,"Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,6
Neal Analytics LLC,Fractal Analytics (Canada) Inc,Cost of delivery,-,-,-,-,36
Neal Analytics LLC,Neal Analytics Services Private Limited,Cost of delivery,-,-,-,0,347
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,-,-,1,1
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,1
