Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Fractal Analytics (Switzerland) GmbH,"Fractal Analytics Inc, USA",Revenue from operation,8,16,29,22,3
Fractal Analytics Germany GmbH,"Fractal Analytics Inc, USA",Revenue from operation,11,1,4,17,31
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,5,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,0
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,0,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Inc, USA",Revenue from operation,68,49,92,71,50
Limited Liability Company Symphony (Ukraine),"Fractal Analytics Inc, USA",Revenue from operation,28,20,42,75,-
Limited Liability Company Symphony (Ukraine),"4i Consulting, Inc",Revenue from operation,-,-,-,-,91
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,2,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,1,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,0,0,0,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA",Revenue from operation,-,43,14,387,307
Fractal Analytics Australia Pty Limited,Senseforth AI Research Private Limited,Cost of delivery,-,-,-,18,-
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Revenue from operation,-,-,-,-,0
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Cost of delivery,-,-,-,-,2
Fractal Analytics Australia Pty Limited,"Senseforth, Inc","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,2
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,0,-,-
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,0,1
Fractal Analytics (Shanghai) Ltd,"Fractal Analytics Inc, USA",Revenue from operation,2,6,5,29,15
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,1,1
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,0,3
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,-,-,3,-
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,3,-
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,1,3
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sundry balance written Back,-,-,20,-,-
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,"Redemption of Investments in equity instruments in
subsidiary (Assets)",-,-,0,-,-
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,Investment in equity shares of subsidiary company,-,-,-,-,0
Theremin AI Solutions Private Limited,Mr. Hemant Kothavade,"Expenses incurred for the company to(creating payable
position)",-,-,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,2,8
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,4,4,-,10
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,4,4,10,17
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,0,0,0,1
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,0,0,1,-
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,5,7
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Repayment of debentures,-,-,-,92,-
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sundry balance written Back,-,-,53,-,-
Eugenie Technologies Private Limited,Qure.ai Technologies Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
Eugenie Technologies Private Limited,Eugenie.ai Inc,Revenue from operation,-,7,7,68,108
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Revenue from operation,-,-,1,-,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,17,17,153,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,23,42
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Sundry Balances Write Back,-,-,98,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Cost of delivery,-,7,8,68,106
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",2,4,5,9,5
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",1,0,0,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",44,26,52,52,27
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Revenue from operation,313,188,400,311,242
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Cost of delivery,7,-,13,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Deemed capital contribution,1,0,1,1,-
Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,0,0,0,0
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,-,0,-
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,-,-,1,-,-
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Staff training Income,40,6,20,15,9
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cost of delivery,5,3,6,-,-
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",0,-,0,-,-
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,1,1,0,0
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Sundry balance written Back,-,-,3,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,0,-
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Revenue from operation,-,28,81,53,6
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,-,-,-,2
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,2
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,1,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,1,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Inc, USA",Revenue from operation,4,5,12,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Private Limited, Singapore","Expenses incurred for the company to(creating payable
position)",-,-,12,-,-
"Qure.ai Technologies Limited, UK",Qure.ai Technologies Private Limited,Marketing support services given,-,-,-,-,125
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Deemed Investment in subsidiary company,-,-,282,-,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Deemed capital contribution,-,-,282,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Deemed Investment in subsidiary company,-,-,3,-,-
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Deemed capital contribution,-,-,3,-,-
Eugenie Technologies Private Limited,Eugenie.ai Inc,Sundry balance written off,-,-,12,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Sundry balance written Back,-,-,12,-,-
"Fractal Analytics Inc, USA","Senseforth, Inc",Provision for impairment of deemed investment,-,-,355,-,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,"Reversal of provision for impairment on loan &
receivables",-,-,362,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc","Reversal of provision for impairment on loan &
receivables",-,-,-1,-,-
Qure.ai Technologies Private Limited,Qure Technologies Inc.,Revenue from operation,-,-,-,-,1
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK",Revenue from operation,-,-,-,-,36
Qure Technologies Inc.,Qure.ai Technologies Private Limited,Cost of delivery,-,-,-,-,1
"Qure.ai Technologies Limited, UK",Qure.ai Technologies Private Limited,Cost of delivery,-,-,-,-,36
Senseforth AI Research Private Limited,"Senseforth, Inc",Sundry balance written off,-,-,-,13,-
"Senseforth, Inc",Senseforth AI Research Private Limited,Sundry balance written Back,-,-,-,12,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution (ESOP),-,3,194,19,36
"Fractal Analytics Inc, USA",Eugenie Technologies Private Limited,Reversal of provision for doubtful receivables and loans,-,-,-,2,-
Neal Analytics LLC,"Fractal Analytics Inc, USA",Inter company recruitment service given,-,-,-,-,17
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics FZ LLC,Deemed Investment in subsidiary company,2,-,-,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,2,-,-,-,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics UK Limited, UK","Expenses incurred for the company to(creating payable
position)",1,-,-,-,-
Senseforth AI Research Private Limited,"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of expenses from (creating receivable
position)",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Senseforth AI Research Private Limited,"Expenses incurred for the company to(creating payable
position)",0,-,-,-,-
"Fractal Analytics UK Limited, UK","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Reimbursement of expenses from (creating receivable
position)",1,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA","Reimbursement of common expenses from (creating
receivable position)",0,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cost of delivery,-,-,9,-,-
"Fractal Analytics Inc, USA","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Expenses incurred for the company to(creating payable
position)",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Australia Pty Limited,Revenue from operation,17,-,-,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA",Cost of delivery,17,-,-,-,-
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,Cost of delivery,19,-,-,-,-
Final Mile Consulting LLC,"Fractal Analytics Inc, USA",Revenue from operation,19,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,Revenue from operation,14,-,-,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Cost of delivery,14,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,Deemed Investment in subsidiary company,0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,"Provision for impairment of trade, unbilled and other
receivables",0,-,-,-,-
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,"Provision for impairment of trade, unbilled and other
receivables",19,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Reversal of deemed investment in subsidiary company,1,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Reversal of deemed capital contribution,1,-,-,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA",Revenue from operation,23,-,22,-,-
"Analytics Vidhya Inc., USA",Analytics Vidhya Educon Private Limited,Cost of delivery,23,-,22,-,-
Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Fractal Analytics UK Limited, UK","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",31,6,21,-,-
"Fractal Analytics UK Limited, UK","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,1,1,0,0,0
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA",Trade and other payables,-,-,0,-,-
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",740,555,603,455,270
"Fractal Analytics UK Limited, UK","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Trade and other receivables including unbilled
receivables",1,-,0,-,-
"Fractal Analytics UK Limited, UK",Senseforth AI Research Private Limited,Trade and other payables,-,-,-,1,-
"Fractal Analytics UK Limited, UK",Senseforth AI Research Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,1,-
"4i Consulting, Inc","Fractal Analytics Inc, USA",Trade and other payables,-,-,-,-,409
"4i Consulting, Inc",Limited Liability Company Symphony (Ukraine),Trade and other payables,-,-,-,-,21
"4i Consulting, Inc",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",-,-,-,-,1
"4i Consulting, Inc","Senseforth, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,1
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),3,1,1,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,0,0,0,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA",Trade and other payables,-,-,0,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",121,127,115,137,39
Fractal Analytics (Canada) Inc,Neal Analytics LLC,"Trade and other receivables including unbilled
receivables",-,-,-,-,5
Fractal Analytics (Switzerland) GmbH,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",28,22,24,16,3
Fractal Analytics Germany GmbH,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",13,12,15,10,13
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),5,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",31,19,27,17,14
Limited Liability Company Symphony (Ukraine),"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",34,29,30,26,-
Limited Liability Company Symphony (Ukraine),"4i Consulting, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,21
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),3,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",1,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,-,0,0,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,18,-4,104,50
Fractal Analytics Australia Pty Limited,Senseforth AI Research Private Limited,Trade and other payables,-,0,-,3,-
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Trade and other payables,-,-,-,-,2
Fractal Analytics Australia Pty Limited,"Senseforth, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,2
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",-,-,0,-,-
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,-,-,-,0
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA",Advance from customers,-,1,-,1,-
Fractal Analytics (Shanghai) Ltd,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",11,14,11,12,8
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,0,-,1,0
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,-,2,2,2,2
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,20,-,25,24
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,Investments in equity instruments in subsidiary (assets),-,0,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Borrowings (Debentures),-,-,-,-,92
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter corporate loan/advances taken,-,-,-,-,10
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest accrued and but not due(payable),-,-,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,53,0,53,47
Eugenie Technologies Private Limited,"Fractal Analytics Inc, USA",Trade and other payables,-,-,-,-,1
Eugenie Technologies Private Limited,Qure.ai Technologies Private Limited,Trade and other payables,-,-,-,1,1
Eugenie Technologies Private Limited,Eugenie.ai Inc,"Trade and other receivables including unbilled
receivables",-,12,0,23,102
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Inter corporate loan/advances taken,-,276,-,258,103
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Trade and other payables,-,96,-,96,71
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Deemed capital contribution,282,-,282,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Trade and other payables,-,12,0,23,102
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,111,31,62,78,11
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",1,0,0,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Capital Contribution(ESOP),2,1,2,1,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",338,185,262,214,134
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Trade and other payables,20,-,13,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,-,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Trade and other payables,50,59,7,47,77
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,8,7,19,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"4i Consulting, Inc",Trade and other payables,-,-,-,-,1
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Deemed Investment in subsidiary company,2,1,2,1,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Trade and other receivables including unbilled
receivables",20,-,13,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Trade and other payables,338,189,262,214,134
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Investment in common stock,142,140,142,139,-
Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Senseforth AI Research Private Limited,"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Trade and other receivables including unbilled
receivables",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Senseforth AI Research Private Limited,Trade and other payables,0,-,-,-,-
"Fractal Analytics Inc, USA","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Advance from customers,0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Inc, USA",Advance to vendors,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,"Provision for Impairment of trade, unbilled and other
receivables",0,-,-,-,-
"Fractal Analytics Inc, USA",Senseforth AI Research Pvt. Ltd.,"Provision for Impairment of trade, unbilled and other
receivables",19,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,"Trade and other receivables including unbilled
receivables",0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,Deemed Investment in subsidiary company,0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,Advance to vendors,0,-,-,-,-
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA",Advance from customers,0,-,-,-,-
Qure.ai Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",4,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for investment in equity
instruments in subsidiary",159,-,-,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA","Trade and other receivables including unbilled
receivables",1,-,22,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA",Investment in Common stock,0,-,-,-,-
"Analytics Vidhya Inc., USA",Analytics Vidhya Educon Private Limited,Trade and other payables,1,-,22,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Trade and other payables,13,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other receivables including unbilled receivables,13,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for deemed investment in
subsidiaries",172,-,-,-,-
