Name of the struck off company,"Nature of transactions with struck
off company","Balance outstanding as at
September 30, 2025*","Balance outstanding as at
September 30, 2024*","Balance outstanding as at
March 31, 2025*","Relationship with the
struck off company"
Imphal Generacion Technotine Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Mozafy International Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Vexla India Tech Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kampfer Industry (Opc) Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Indomat Exim India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kanishq Designer Studio Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Ncoil Lubricant Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
VK Home Decor Private Limited,Trade receivables,(0.00),(0.01),(0.00),Seller
Viable Clothing Cart Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Amrox Enterprises (OPC) Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Mitmax India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
S P Garments Private Limited,Trade receivables,-,(0.00),(0.00),Seller
Cabjix Cabs Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Aagha Organics Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Vaak World Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Mimmo Organics Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Educated Farmers Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Greengod Biotech Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Imperial Food Biz Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kitchen Bliss Private Limited,Trade receivables,-,(0.00),(0.00),Seller
Maxwell India Home Products Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
P Bajaj Ecommerce Private Limited,Trade receivables,(0.01),(0.01),(0.01),Seller
Everything Services Private Limited,Trade receivables,-,(0.01),(0.01),Seller
Mxview Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Jordnara Skincare Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Bong Appario Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kdm Sports Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Laishram Royal Industries Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Lonekart Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Volkoff Designs Private Limited,Trade receivables,(0.03),(0.03),(0.03),Seller
Anandana Services Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Indcool Electrical Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Vadeel Technology Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Bimba Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Eight Square E-Commerce Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Name of the struck off company,"Nature of transactions with struck
off company","Balance outstanding as at
September 30, 2025*","Balance outstanding as at
September 30, 2024*","Balance outstanding as at
March 31, 2025*","Relationship with the
struck off company"
Isdmr Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Fashionhol Marketing Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Utility Super Bargain Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Riviera(India) Private Limited,Trade receivables,-,(0.00),(0.00),Seller
A.R.P. Textiles Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Tafne Fashions Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Aimee Healthcare Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Platypuss Clothings Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Riveting Home Decor Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kmr Socks Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Billandcooers Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Jr7 Clothing Private Limited,Marketplace related payables,-,0.00,0.00,Seller
Zeog Lifestyle Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Manju Surgical & Medical Devices Com Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kahuna Prime Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Alacare Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Manors textiles Private Limited,Trade receivables,(0.00),-,-,Seller
Ritvik Textile Private Limited,Trade receivables,(0.00),-,-,Seller
Gold Rose Private Limited,Trade receivables,(0.00),-,-,Seller
Aasand Debdatta India Private Limited,Trade receivables,(0.00),-,-,Seller
Golden Future Tradex Private Limited,Trade receivables,(0.00),-,-,Seller
Ginni Filaments Limited,Marketplace related payables,0.00,-,-,Seller
