,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
46,Yashaswa Power LLP,India,100,100,100,100,100
47,Clean Max Balam Private Limited,India,51,51,51,100,100
48,HET Energy Technology LLP,India,100,100,100,100,100
49,Clean Max Rudra Private Limited,India,74,74,74,74,74
50,"Clean Max IPP 4 Power Private
Limited",India,100,100,100,100,100
51,"Clean Max Thennal Private
Limited",India,73,73,73,74,74
52,Clean Max Theia Private Limited,India,74,74,74,74,74
53,Clean Max Thanos Private Limited,India,74,74,74,74,74
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
54,Clean Max Tav Private Limited,India,74,74,74,74,74
55,Clean Max Saura Private Limited,India,73,73,73,73,73
56,Clean Max Ame Private Limited,India,74,100,74,100,100
57,Clean Max Arnav Private Limited,India,74,74,74,74,74
58,Clean Max Astria Private Limited,India,74,74,74,74,74
59,"Clean Max Decimus Private
Limited",India,74,74,74,100,100
60,Clean Max Dhruve Private Limited,India,74,74,74,100,100
61,"Clean Max Dhyuthi Private
Limited",India,74,74,74,74,74
62,"Clean Max Hybrid 2 Private
Limited",India,74,74,74,74,74
63,Clean Max Kaze Private Limited,India,74,74,74,74,74
64,"Clean Max Matahari Private
Limited",India,74,74,74,74,74
65,Clean Max Taiyo Private Limited,India,74,74,74,74,74
66,"Clean Max Meridius Private
Limited",India,74,74,74,74,74
67,Clean Max Plutus Private Limited,India,74,74,74,74,74
68,"Clean Max Power 4 Private
Limited",India,74,74,74,74,74
69,"Clean Max Alchemy Private
Limited",India,100,100,100,100,-
70,Clean Max Bloom Private Limited,India,51,51,51,100,-
71,Clean Max Cads Private Limited,India,51,100,51,100,-
72,Clean Max Celeste Private Limited,India,74,74,74,74,-
73,Clean Max Dos Private Limited,India,51,51,51,100,-
74,Clean Max Eliora Private Limited,India,74,74,74,74,-
75,Clean Max Galaxy Private Limited,India,100,100,100,100,-
76,"Clean Max Genesis Private
Limited",India,74,74,74,74,-
77,Clean Max Mirage Private Limited,India,51,51,51,51,-
78,Clean Max Opus Private Limited,India,51,51,51,51,-
79,Clean Max Prithvi Private Limited,India,51,100,51,100,-
80,Clean Max Solaris Private Limited,India,100,100,100,100,-
81,Clean Max Uranus Private Limited,India,74,74,74,74,-
82,HEM Urja LLP,India,100,100,100,100,100
83,Gadag Power India Private Limited,India,100,100,100,100,100
84,"Clean Max Surya Energy Private
Limited",India,100,100,100,100,100
85,Downing Gridco Private Limited,India,100,100,100,100,100
86,Clean Max Ruby Private Limited,India,51,51,51,100,-
87,Clean Max Uno Private Limited,India,74,74,74,100,-
88,Clean Max Maya Private Limited,India,51,51,51,51,-
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
89,Clean Max Ananta Private Limited,India,51,51,51,51,-
90,Clean Max Omni Private Limited,India,74,100,74,100,-
91,"Clean Max Andromeda Private
Limited",India,74,100,100,100,-
92,Clean Max Aurora Private Limited,India,74,100,74,100,-
93,"Clean Max Calypso Private
Limited",India,74,76,74,76,-
94,Clean Max Aero Private Limited,India,74,84,74,100,-
95,Clean Max Gaia Private Limited,India,51,100,100,100,-
96,Clean Max Terra Private Limited,India,74,74,74,74,-
97,Clean Max Infinia Private Limited,India,51,51,51,51,-
98,Clean Max Nova Private Limited,India,74,74,74,100,-
99,Clean Max Beta Private Limited,India,74,100,74,100,-
100,"Clean Max Gamma Private
Limited",India,100,100,100,100,-
101,Clean Max Sirius Private Limited,India,74,74,74,100,-
102,Clean Max Fragma Private Limited,India,74,100,74,100,-
103,"Clean Max BIAL Renewable
Energy Private Limited",India,74,74,74,100,-
104,"Clean Max Magnus Private
Limited",India,51,100,51,100,-
105,"Clean Max Arcadia Private
Limited",India,74,74,74,100,-
106,Clean Max Boreal Private Limited,India,51,51,51,100,-
107,Clean Max Opia Private Limited,India,100,100,74,100,-
108,Clean Max Nabia Private Limited,India,51,51,51,100,-
109,Clean Max Astral Private Limited,India,74,100,74,100,-
110,"Clean Max Sapphire Private
Limited",India,74,100,74,100,-
111,Clean Max Aria Private Limited,India,51,51,51,100,-
112,Clean Max Origo Private Limited,India,74,100,74,100,-
113,Clean Max Delirio Private Limited,India,74,100,74,100,-
114,Clean Max Atlas Private Limited,India,100,100,100,100,-
115,"Clean Max Celestial Private
Limited",India,100,100,100,100,-
116,"Jagalur Green Energy Power
Supply Private Limited",India,100,100,100,-,-
117,Clean Max Prapati Private Limited,India,51,100,51,-,-
118,"Clean Max Patagonia Private
Limited",India,74,100,74,-,-
119,Clean Max Kenai Private Limited,India,100,100,100,-,-
120,"Clean Max Anchorage Private
Limited",India,74,100,74,-,-
121,"Clean Max Yosemite Private
Limited",India,74,100,100,-,-
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
122,"Clean Max Serengeti Private
Limited",India,74,100,74,-,-
123,Clean Max Jasper Private Limited,India,51,100,51,-,-
124,Clean Max Zion Private Limited,India,74,100,74,-,-
125,"Clean Max Galapagos Private
Limited",India,100,100,100,-,-
126,Clean Max Teton Private Limited,India,74,100,100,-,-
127,Clean Max Bryce Private Limited,India,74,100,74,-,-
128,"Clean Max Nirvaan Private
Limited",India,100,100,100,-,-
129,Clean Max Ekaiva Private Limited,India,51,100,51,-,-
130,"Surya Energy Photo Voltaic India
Private Limited @",India,100,100,100,-,-
131,"Clean Max Yellowstone Private
Limited",India,100,-,100,-,-
132,"Clean Max Godavari Private
Limited",India,74,-,100,-,-
133,"Clean Max Kaziranga Private
Limited",India,100,-,100,-,-
134,Clean Max Everest Private Limited,India,100,-,100,-,-
135,Clean Max Ajanta Private Limited,India,100,-,100,-,-
136,Clean Max Urjit LLP,India,80,-,80,-,-
137,"Clean Max Everglades Private
Limited",India,74,-,74,-,-
138,Clean Max Draco Private Limited,India,100,-,100,-,-
139,Clean Max Denali Private Limited,India,100,-,100,-,-
140,"Clean Max Olympus Private
Limited",India,100,-,100,-,-
141,Clean Max Taurus Private Limited,India,100,-,100,-,-
142,Clean Max Tadoba Private Limited,India,100,-,100,-,-
143,Clean Max Indus Private Limited,India,51,-,51,-,-
144,Clean Max Kaveri Private Limited,India,100,-,100,-,-
145,Clean Max Periyar Private Limited,India,100,-,100,-,-
146,Clean Max Nile Private Limited,India,51,-,100,-,-
147,"Clean Max Sundarban Private
Limited",India,51,-,100,-,-
148,Clean Max Hydra Private Limited,India,51,-,100,-,-
149,Clean Max Ganga Private Limited,India,51,-,100,-,-
150,Clean Max Kanha Private Limited,India,51,-,100,-,-
151,"Clean Max Narmada Private
Limited",India,51,-,100,-,-
152,Clean Max Leo Private Limited,India,74,-,74,-,-
153,"Clean Max Yamuna Private
Limited",India,100,-,100,-,-
154,Clean Max Alps Private Limited,India,100,-,100,-,-
155,Clean Max Andes Private Limited,India,74,-,100,-,-
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
156,"Clean Max Centaurus Private
Limited",India,51,-,100,-,-
157,"VEH Green Energy Private
Limited@",India,100,-,100,-,-
158,"Clean Max Nevada Private
Limited*",India,100,-,-,-,-
159,"Clean Max Tasman Private
Limited*",India,100,-,-,-,-
160,Clean Max Banff Private Limited*,India,51,-,-,-,-
161,"Clean Max Kruger Private
Limited*",India,100,-,-,-,-
162,"Clean Max Pacific Private
Limited*",India,100,-,-,-,-
163,Clean Max Polar Private Limited*,India,100,-,-,-,-
164,Clean Max Sierra Private Limited*,India,100,-,-,-,-
165,"Clean Max Solomon Private
Limited*",India,100,-,-,-,-
166,"Clean Max Atlantic Private
Limited*",India,100,-,-,-,-
167,Clean Max Tahoe Private Limited*,India,100,-,-,-,-
168,"Clean Max Albatross Private
Limited*",India,100,-,-,-,-
169,Clean Max Arctic Private Limited*,India,100,-,-,-,-
170,"Clean Max Solstice Private
Limited*",India,100,-,-,-,-
171,"Clean Max Karakoram Private
Limited*",India,100,-,-,-,-
172,"Clean Max Adriatic Private
Limited*",India,100,-,-,-,-
173,"Clean Max Amalfi Private
Limited*",India,100,-,-,-,-
174,Clean Max Petra Private Limited*,India,100,-,-,-,-
175,"Clean Max Kilimanjaro Private
Limited*",India,100,-,-,-,-
176,Clean Max Fuji Private Limited,India,100,-,-,-,-
177,"Clean Max Iguazu Private
Limited*",India,100,-,-,-,-
178,"Clean Max Azores Private
Limited*",India,100,-,-,-,-
179,Clean Max Peyto Private Limited*,India,100,-,-,-,-
180,"Clean Max Emerald Private
Limited*",India,100,-,-,-,-
181,"Clean Max Victoria Private
Limited*",India,100,-,-,-,-
182,"Clean Max Lapland Private
Limited*",India,100,-,-,-,-
183,"Clean Max Louise Private
Limited*",India,100,-,-,-,-
184,Clean Max Como Private Limited*,India,100,-,-,-,-
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
185,"Clean Max Laguna Private
Limited*",India,100,-,-,-,-
186,"Clean Max Aranyam Private
Limited*",India,100,-,-,-,-
187,"Clean Max Moraine Private
Limited*",India,100,-,-,-,-
188,Clean Max Ahar Private limited*,India,100,-,-,-,-
189,Clean Max Hana Private limited*,India,100,-,-,-,-
190,CleanMax Solar Mena FZCO,"United Arab
Emirates",100,100,100,100,100
191,"Sunroof Enviro Solar Energy
Systems LLC","United Arab
Emirates",100,100,100,100,49
192,"Clean Max Alpha LeaseCo FZCO
(w.e.f. 01st October, 2024)","United Arab
Emirates",50,-,50,-,-
193,Cleanmax IHQ (Thailand) Co. Ltd.,Thailand,100,100,100,100,100
194,"Cleanmax Energy (Thailand) Co.
Ltd.",Thailand,100,100,100,100,100
195,"Cleanmax Engineering (Thailand)
Co. Ltd",Thailand,49,49,49,49,49
196,Clean Max Helios Power LLP #,India,-,-,-,-,100
197,CMES Urja LLP #,India,-,-,-,-,100
198,CMES Universe LLP #,India,-,-,-,-,100
199,Clean Max Actis Energy LLP #,India,-,-,-,-,100
,b. Joint ventures,,,,,,
1,Cleanmax Harsha Solar LLP,India,50,50,50,50,50
2,"Kanoo Cleanmax Renewables
Asset CO W.L.L.",Bahrain,50,50,50,50,50
3,"Kanoo Cleanmax Renewables
W.L.L.*",Bahrain,50,-,50,-,-
,c. Associate,,,,,,
1,"Clean Max Alpha LeaseCo FZCO
(upto 30th September, 2024)","United Arab
Emirates",-,40.8,-,40.8,36
