16,"Clean Max Enviro Energy
Solutions Limited","Clean Max Gamma Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,500.00
17,"Clean Max Enviro Energy
Solutions Limited","Clean Max Solaris Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,50.00
18,"Clean Max Enviro Energy
Solutions Limited",Clean Max Dos Private Limited,"Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,97.00
19,"Clean Max Enviro Energy
Solutions Limited","Clean Max BIAL Renewable
Energy Private Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,9%,20 years,100.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
20,"Clean Max Enviro Energy
Solutions Limited","VEH Green Energy Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
underthisAgreement.TheFacilityshallhavea moratoriumperiod of1 yearfromtheExecution Dateand
interest will not be applicable during that period.",Fixed,10%,20 years,56.53
21,"Clean Max Enviro Energy
Solutions Limited",Clean Max Deneb Power LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Accrued
interestontheFacilityshallbepaidtotheLenderonanannualbasisonthelastbusinessdayoftherelevant
year or as mutually agreed between the Parties (the “Interest Payment Date”). In no event shall the
compounding of interest or repayment amount be permitted under this Agreement.",Fixed,10%,20 years,200.00
22,"Clean Max Enviro Energy
Solutions Limited",Clean Max Vega Power LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,280.00
23,"Clean Max Enviro Energy
Solutions Limited",Clean Max Auriga Power LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Accrued
interestontheFacilityshallbepaidtotheLenderonanannualbasisonthelastbusinessdayoftherelevant
year or as mutually agreed between the Parties (the “Interest Payment Date”). In no event shall the
compounding of interest or repayment amount be permitted under this Agreement.",Fixed,10%,20 years,189.50
24,"Clean Max Enviro Energy
Solutions Limited","Clean Max Scorpius Power
LLP","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Accrued
interestontheFacilityshallbepaidtotheLenderonanannualbasisonthelastbusinessdayoftherelevant
year or as mutually agreed between the Parties (the “Interest Payment Date”). In no event shall the
compounding of interest or repayment amount be permitted under this Agreement.
AnAmendmentdated10thDecember2022toagreementwasmade.Aspertheamendmentthefacilityamount
was increased from 133 million to 250 million.",Fixed,10%,20 years,250.00
25,"Clean Max Enviro Energy
Solutions Limited",Clean Max Vital Energy LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Accrued
interestontheFacilityshallbepaidtotheLenderonanannualbasisonthelastbusinessdayoftherelevant
year or as mutually agreed between the Parties (the “Interest Payment Date”). In no event shall the
compounding of interest or repayment amount be permitted under this Agreement.",Fixed,10%,20 years,143.50
26,"Clean Max Enviro Energy
Solutions Limited",Clean Max Power 3 LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Accrued
interestontheFacilityshallbepaidtotheLenderonanquarterlybasisonthelastbusinessdayoftherelevant
month (the “Interest Payment Date”).
AnAmendmentdated10thDecember2022toagreementwasmade.Aspertheamendmentthefacilityamount
was increased from 266 million to 699.90 million.",Fixed,10%,15 years,699.60
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
27,"Clean Max Enviro Energy
Solutions Limited",HEM Urja LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,500.00
28,"Clean Max Enviro Energy
Solutions Limited","Clean Max Zeus Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,651.53
29,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bhoomi Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,913.70
30,"Clean Max Enviro Energy
Solutions Limited","Clean Max Maximus Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Vide letter date March 28 2024, facility amount is reduced to 50 million.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,918.70
31,"Clean Max Enviro Energy
Solutions Limited","Chitradurga Renewable Energy
India Private Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -11%
Year 7-25 -18%",25 years,150.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
32,"Clean Max Enviro Energy
Solutions Limited","Chitradurga Renewable Energy
India Private Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,50.00
33,"Clean Max Enviro Energy
Solutions Limited","Clean Max Kratos Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,500.00
34,"Clean Max Enviro Energy
Solutions Limited","Clean Max Astria Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,284.40
35,"Clean Max Enviro Energy
Solutions Limited","Clean Max Hybrid 2 Power
Private Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,213.70
36,"Clean Max Enviro Energy
Solutions Limited","Clean Max Dhyuthi Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,199.00
