"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
29,Clean Max Vent Power Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,"1,067.22"
30,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,80.25,2 53.24,-,259.23,-
31,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 48.91,-,152.26,-
32,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,847.83
33,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,200.60
34,Clean Max Hyperion Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,309.93,3 40.10,327.75,352.45,359.65
35,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,"3,297.51","3,232.31","3,362.72","2,341.02"
36,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 72.32,465.12,459.62,-
37,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"3,162.71",-,"3,232.31",-,-
38,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,456.70,-,465.12,-,-
39,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,"3,297.51",-,"3,362.72","2,126.22"
40,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 72.32,-,459.55,-
41,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,"3,664.83",-,"3,713.73",-,-
42,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,569.30,-,576.90,-,-
43,Clean Max Kratos Private Limited,Clean Max Enviro Energy Solutions Limited,National Bank for Financing Infrastructure,"2,965.51","3,057.02","3,181.97","3,102.00",-
44,Clean Max Kratos Private Limited,Clean Max Enviro Energy Solutions Limited,aNnadti Doneavle Bloapnmke fnotr Financing Infrastructure,167.30,-,-,-,746.50
45,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,aPnodw eDre Fvienloapnmcee Cntorporation Limited,"3,092.13","3,577.74","3,505.96","3,625.60","3,264.50"
46,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,342.03,-,-,-,-
47,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,3 48.80,343.02,237.57,-
48,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,3 24.93,319.54,237.57,-
49,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,330.00
50,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,3 41.21,335.51,241.41,-
51,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,3 33.12,327.56,241.41,-
52,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,330.00
53,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,270.00,1 68.91,166.00,122.59,-
54,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,270.00,1 67.47,164.58,122.59,-
55,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,170.00
56,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,265.00,1 79.17,177.48,232.73,-
57,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,164.00,-,-,-,170.00
58,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,141.00,1 33.33,131.08,-,-
59,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 79.17,176.17,8 7.44,-
60,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,1 57.53,154.89,8 7.44,-
61,Clean Max Meridius Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 77.01,174.12,87.51,-
62,Clean Max Meridius Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,1 60.06,157.45,87.46,-
63,Clean Max Astria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,267.50,1 74.17,172.39,174.98,-
64,Clean Max Astria Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,267.50,1 38.64,136.38,-,-
65,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 54.07,-,157.69,-
66,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,120.00
67,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,"3,492.59","3,650.53","3,557.76","3,396.80","2,080.00"
68,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,329.01,3 43.89,335.15,-,-
69,Clean Max TAV Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 49.21,-,253.42,-
70,Clean Max Arnav Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,3 80.21,-,389.21,-
71,Clean Max Plutus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,9 6.05,-,98.10,-
72,Clean Max Light Power LLP,Clean Max Enviro Energy Solutions Limited,Northern Arc Capital Limited,121.65,-,-,63.64,-
73,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,87.50,-,-,63.64,-
74,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,114.99,1 18.62,116.82,-,-
75,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,87.50,-,-,-,-
76,Clean Max Taiyo Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 93.23,-,300.15,-
77,Clean Max Thennal Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 84.69,-,189.08,-
78,Clean Max Saura Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 11.96,-,216.10,-
79,Clean Max Matahari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,219.26,3 14.01,97.50,320.61,-
80,Clean Max Matahari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,128.00,-,-,-,-
81,Clean Max Balam Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,3 22.50,318.37,220.00,-
82,Clean Max Mirage Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,597.12,6 10.90,605.71,400.00,-
83,Clean Max Mirage Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,537.12,4 35.40,544.30,-,-
84,Clean Max Uranus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,8 56.80,842.49,630.00,-
85,Clean Max Opus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,"1,046.13",8 17.03,"1,062.53",817.04,-
86,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Standard Chartered Bank,342.65,5 60.00,346.81,-,-
"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
87,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Exim Bank,261.23,-,264.45,-,-
88,Clean Max Celeste Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 41.80,236.72,-,-
89,Clean Max Genesis Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,790.81,6 59.41,803.21,-,-
90,Clean Max Infinia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,96.75,7 3.90,73.90,-,-
91,Clean Max Maya Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,257.59,1 96.60,196.60,-,-
92,Clean Max Calypso Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,432.87,3 30.60,330.60,-,-
93,Clean Max Sirius Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,183.98,1 40.70,140.70,-,-
94,Clean Max Hybrid Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,118.19,1 21.50,121.50,-,-
95,Clean Max Arcadia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,418.09,3 19.00,319.00,-,-
96,Clean Max Ananta Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,283.98,2 17.00,217.00,-,-
97,Clean Max Decimus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,71.02,5 4.00,54.00,-,-
98,Clean Max Light Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 25.81,123.73,-,-
99,Clean Max Bial Renewable Energy Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"1,184.80",8 30.00,"1,014.30",-,-
100,Clean Max Bial Renewable Energy Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,609.20,-,513.80,-,-
101,Clean Max Bloom Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,130.50,-,-,-,-
102,Clean Max Uno Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,96.50,-,72.30,-,-
103,Clean Max Nabia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,155.00,-,116.20,-,-
104,Clean Max Nabia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,279.95,-,-,-,-
105,Clean Max Astral Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,125.00,-,125.00,-,-
106,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,85.00,-,85.00,-,-
107,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,117.50,-,-,-,-
108,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,117.50,-,-,-,-
109,Clean Max Nova Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,105.00,-,105.00,-,-
110,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,135.00,-,135.00,-,-
111,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,247.44,-,-,-,-
112,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,640.88,-,-,-,-
113,Clean Max Dos Private Limited,Clean Max Enviro Energy Solutions Limited,RBL Bank Limited,237.61,-,120.00,-,-
114,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"2,308.30",-,"1,440.00",-,-
115,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,858.40,-,-,-,-
116,Clean Max Eliora Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"2,348.00","1,682.30","2,108.80",-,-
117,Clean Max Eliora Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"1,257.20","1,202.90","1,270.00",-,-
118,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,Global Climate Partnership (THB),-,7 75.20,737.51,707.14,318.12
119,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,International Finance Corporation,"2,141.29",-,-,-,-
120,Cleanmax Alpha LeaseCo FZCO,Clean Max Enviro Energy Solutions Limited,HSBC BANK MIDDLE EAST LIMITED,"2,050.67","1,055.81","1,973.76",-,-
121,Cleanmax Alpha LeaseCo FZCO,Clean Max Enviro Energy Solutions Limited,National Bank of Fujairah,-,-,-,"1,119.06","1,176.29"
122,Clean Max Auriga Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,403.87
123,Clean Max Khanak Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,255.14
124,Clean Max Photovoltaic Private Limited,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,-,-,-,-,"1,181.42"
125,Clean Max Mercury Power Private Limited,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,-,-,-,-,"1,195.68"
126,Clean Max IPP 2 Private Limited,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,"1,172.19"
127,KAS On Site Power Solutions LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,471.28
128,KAS On Site Power Solutions LLP,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,478.82
129,Clean Max Power Projects Private Limited,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,754.11
130,Clean Max Ame Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,278.00,-,-,-,-
131,Clean Max Aurora Private Limited,Clean Max Enviro Energy Solutions Limited,RBL Bank Limited,179.00,-,-,-,-
132,Clean Max Banff Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,201.60,-,-,-,-
133,Clean Max Beta Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,468.10,-,-,-,-
134,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,221.25,-,-,-,-
135,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,221.25,-,-,-,-
136,Clean Max Bryce Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,174.16,-,-,-,-
137,Clean Max Celestial Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"4,485.99",-,-,-,-
138,Clean Max Centaurus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,408.50,-,-,-,-
139,Clean Max Everglades Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,503.03,-,-,-,-
140,Clean Max Fragma Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,283.96,-,-,-,-
141,Clean Max Ganga Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,"1,012.50",-,-,-,-
142,Clean Max Godavari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,290.00,-,-,-,-
143,Clean Max IPP4 Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,358.88,-,-,-,-
144,Clean Max Kruger Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,415.13,-,-,-,-
145,Clean Max Patagonia Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,700.00,-,-,-,-
146,Clean Max Serengeti Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,219.60,-,-,-,-
147,Clean Max Sierra Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,157.50,-,-,-,-
148,Clean Max Taurus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,960.00,-,-,-,-
149,Clean Max Vital Energy LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,407.33
,Total Corporate Guarantee,,,"5 7,921.62","43,960.59","4 8,260.95","34,682.81","31,315.33"
