Clean Max Suryamukhi LLP,( 0.02),(0.03),( 0.06),(0.04),( 0.07),(0.13),0.04,( 0.14),0.04,(0.21)
Clean Max Vega Power LLP,13.61,25.86,31.39,20.46,2 .84,5.52,0.40,( 1.52),0.02,(0.14)
Clean Max Venus Power LLP,( 0.01),(0.01),( 0.03),(0.02),( 0.03),(0.05),0.01,( 0.04),0.01,(0.06)
Clean Max Auriga Power LLP,1.27,2.42,5.25,3.42,-,-,0.24,( 0.89),0.24,(1.43)
Clean Max Fusion Power LLP,( 1.98),(3.77),( 5.37),(3.50),( 1.23),(2.39),0.02,( 0.07),0.01,(0.05)
Clean Max Solstice Power LLP#,-,-,-,-,-,-,-,-,(0.05),0.28
Clean Max IPP 3 Power LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.05),0.01,( 0.05),0.01,(0.06)
Clean Max Power 3 LLP,64.70,122.96,102.16,66.59,3 2.99,64.09,(30.10),113.32,(3.86),22.94
Clean Max Apollo Power LLP,( 0.14),(0.26),( 0.05),(0.03),( 0.05),(0.10),0.03,( 0.13),0.02,(0.11)
Clean Max Light Power LLP,( 0.48),(0.91),( 5.57),(3.63),( 7.49),( 14.56),3.20,( 12.03),0.02,(0.11)
Clean Max Agni 2 Power LLP#,-,-,-,-,-,-,-,-,(0.02),0.11
Clean Max Helios Power LLP@,-,-,-,-,-,-,-,-,(0.02),0.11
Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
Clean Max Charge LLP,( 1.97),(3.75),( 26.63),( 17.36),( 6.93),( 13.46),2.44,( 9.19),0.01,(0.05)
Clean Max Actis Energy LLP@,-,-,-,-,-,-,-,-,(0.03),0.16
Clean Max Vital Energy LLP,3.10,5.89,4.54,2.96,3 .11,6.04,(0.90),3 .40,0.40,(2.35)
Clean Max Proclus Energy LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.06),0.01,(0.05),0.01,(0.05)
Clean Max Augus Power LLP#,-,-,-,-,-,-,-,-,(0.02),0.11
Clean Max Hyperion Power LLP,4.91,9.34,12.69,8.27,6 .86,13.33,(2.37),8.92,(0.65),3.87
Clean Max Circe Power LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.05),0.01,( 0.04),0.01,(0.06)
Clean Max Hybrid Power LLP,( 0.79),(1.51),( 3.22),(2.10),( 1.69),(3.28),0.08,( 0.30),0.01,(0.05)
Clean Max Scorpius Private Limited,23.20,44.09,27.75,18.09,6 .71,13.04,(10.13),38.15,(11.84),70.42
Clean Max Aditya Power Private Limited,4.00,7.61,40.26,26.24,1 0.06,19.54,(5.07),19.08,0.10,(0.59)
Clean Max Vent Power Private Limited,3.01,5.72,16.92,11.03,(11.25),( 21.86),15.39,( 57.95),7.13,(42.43)
Clean Max Khanak Private Limited,4.14,7.86,10.54,6.87,1 .54,3.00,(0.20),0.74,(0.16),0.96
Clean Max Bhoomi Private Limited,( 28.30),( 53.79),( 10.46),(6.82),(51.05),( 99.18),13.33,( 50.17),0.28,(1.67)
Clean Max Gamma Private Limited,( 21.63),( 41.11),( 10.45),(6.81),( 6.06),( 11.77),2.84,( 10.70),-,-
Clean Max Surya Energy Private Limited,( 11.55),( 21.95),( 14.05),(9.16),( 5.06),(9.83),0.64,( 2.40),0.03,(0.15)
Clean Max Sphere Energy Private Limited,( 0.03),(0.05),( 0.08),(0.05),( 0.04),(0.07),0.02,( 0.07),0.01,(0.06)
Clean Max Vayu Private Limited,8.50,16.15,( 9.85),(6.42),( 7.11),( 13.81),3.22,( 12.12),(0.52),3.11
Clean Max Zeus Private Limited,21.88,41.59,48.86,31.85,( 4.17),(8.11),(0.94),3.53,(1.27),7.55
Clean Max Maximus Private Limited,( 5.50),( 10.45),( 64.93),( 42.32),(70.58),( 137.13),18.78,( 70.68),0.28,(1.64)
Clean Max Kratos Private Limited,3.52,6.69,( 11.22),(7.31),(24.43),( 47.47),30.00,( 112.93),1.07,(6.34)
Yashaswa Power LLP,13.95,26.52,32.91,21.45,1 7.90,34.77,(2.07),7.81,0.03,(0.20)
HET Energy Technology LLP,11.53,21.92,23.38,15.24,1 4.81,28.78,(2.46),9.27,0.03,(0.16)
Clean Max Ame Private Limited,( 2.22),(4.22),( 0.08),(0.05),( 0.10),(0.20),0.02,( 0.08),0.02,(0.14)
Clean Max Arnav Private Limited,( 1.12),(2.13),2.75,1.79,( 6.79),( 13.19),6.14,( 23.11),0.04,(0.24)
Clean Max Astria Private Limited,( 0.98),(1.87),5.05,3.29,( 2.75),(5.35),4.68,( 17.62),0.04,(0.23)
Clean Max Balam Private Limited,0.07,0.13,( 0.15),(0.10),( 2.46),(4.78),0.08,( 0.30),0.03,(0.15)
Clean Max Decimus Private Limited,0.56,1.06,( 1.56),(1.02),( 0.48),(0.93),0.03,( 0.11),0.02,(0.14)
Clean Max Dhruve Private Limited,( 0.35),(0.67),( 0.21),(0.14),( 0.01),(0.02),0.06,( 0.22),0.04,(0.23)
Clean Max Dhyuthi Private Limited,7.90,15.02,( 1.23),(0.80),( 5.27),( 10.23),11.56,( 43.51),0.04,(0.25)
Clean Max Hybrid 2 Power Private Limited,8.11,15.42,( 1.49),(0.97),( 5.23),( 10.16),11.04,( 41.56),0.07,(0.41)
Clean Max IPP 4 Power Private Limited,( 0.21),(0.40),( 0.11),(0.07),( 0.06),(0.12),0.03,( 0.10),0.02,(0.10)
Clean Max Kaze Private Limited,( 1.75),(3.33),( 0.14),(0.09),( 0.12),(0.23),0.03,( 0.10),0.04,(0.23)
Clean Max Matahari Private Limited,( 1.35),(2.56),( 1.33),(0.87),( 9.05),( 17.58),2.95,( 11.10),0.04,(0.23)
Clean Max Meridius Private Limited,2.19,4.16,1.21,0.79,( 1.62),(3.15),5.00,( 18.81),0.05,(0.30)
Clean Max Plutus Private Limited,3.95,7.50,6.69,4.36,( 0.03),(0.06),2.08,( 7.82),0.03,(0.15)
Clean Max Power 4 Private Limited,1.49,2.84,1.12,0.73,( 2.88),(5.59),5.11,( 19.24),0.04,(0.26)
Clean Max Rudra Private Limited,( 0.60),(1.14),0.55,0.36,( 2.44),(4.75),5.05,( 19.01),0.04,(0.22)
Clean Max Saura Private Limited,5.38,10.23,0.72,0.47,( 2.89),(5.62),0.85,( 3.20),0.03,(0.15)
Clean Max Taiyo Private Limited,0.16,0.30,( 5.49),(3.58),( 9.53),( 18.52),3.83,( 14.41),0.02,(0.09)
Clean Max Tav Private Limited,2.76,5.24,1.30,0.85,( 3.13),(6.08),3.25,( 12.24),0.03,(0.17)
Clean Max Thanos Private Limited,( 4.84),(9.19),( 8.24),(5.37),( 6.61),( 12.85),5.78,( 21.76),0.05,(0.30)
Clean Max Thennal Private Limited,( 2.29),(4.36),( 2.30),(1.50),( 2.74),(5.32),1.75,( 6.57),0.03,(0.16)
Gadag Power India Private Limited,2.29,4.35,( 0.52),(0.34),1 .57,3.06,0.38,( 1.44),0.01,(0.07)
Clean Max Theia Private Limited,( 19.06),( 36.23),74.33,48.45,(13.05),( 25.35),20.99,( 79.02),0.15,(0.88)
Clean Max Solaris Private Limited,( 0.12),(0.22),0.23,0.15,0 .59,1.15,0.92,( 3.46),-,-
Clean Max Uranus Private Limited,2.86,5.43,11.57,7.54,( 7.05),( 13.70),(0.21),0 .80,-,-
Clean Max Uno Private Limited,( 0.33),(0.63),( 0.63),(0.41),( 0.58),(1.13),0.05,( 0.17),-,-
Hem Urja LLP,( 1.08),(2.05),5.58,3.64,4 .74,9.20,4.12,( 15.52),-,(0.02)
Clean Max Ajanta Private Limited,( 0.08),(0.16),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Alps Private Limited,( 0.05),(0.10),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Andes Private Limited,( 0.93),(1.76),-,-,( 0.12),(0.24),-,-,-,-
Clean Max Centaurus Private Limited,( 1.47),(2.79),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Denali Private Limited,( 0.04),(0.07),-,-,( 0.35),(0.68),-,-,-,-
Clean Max Draco Private Limited,( 0.35),(0.67),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Everest Private Limited,( 0.03),(0.06),-,-,( 0.36),(0.69),-,-,-,-
Clean Max Everglades Private Limited,( 0.13),(0.25),-,-,( 0.12),(0.23),-,-,-,-
Clean Max Ganga Private Limited,( 0.55),(1.04),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Godavari Private Limited,( 0.57),(1.08),-,-,( 0.22),(0.42),-,-,-,-
Clean Max Hydra Private Limited,( 0.25),(0.47),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Indus Private Limited,( 0.09),(0.17),-,-,( 0.07),(0.13),-,-,-,-
Clean Max Kanha Private Limited,( 0.23),(0.44),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Kaveri Private Limited,-,-,-,-,( 0.06),(0.11),-,-,-,-
Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
Clean Max Kaziranga Private Limited,( 0.02),(0.04),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Leo Private Limited,( 0.11),(0.20),-,-,( 0.08),(0.16),-,-,-,-
Clean Max Nirvaan Private Limited,( 0.14),(0.26),( 0.09),(0.06),( 0.21),(0.41),-,-,-,-
Clean Max Narmada Private Limited,( 0.32),(0.60),-,-,( 0.05),(0.10),-,-,-,-
Clean Max Nile Private Limited,( 0.41),(0.77),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Olympus Private Limited,( 0.03),(0.06),-,-,( 0.42),(0.82),-,-,-,-
Clean Max Periyar Private Limited,( 0.02),(0.04),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Sundarban Private Limited,( 0.01),(0.01),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Tadoba Private Limited,( 0.35),(0.67),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Taurus Private Limited,( 0.17),(0.33),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Yamuna Private Limited,( 1.08),(2.06),-,-,( 0.02),(0.03),-,-,-,-
Clean Max Yellowstone Private Limited,( 0.75),(1.42),-,-,( 0.22),(0.42),-,-,-,-
Clean Max Bryce Private Limited,( 1.75),(3.32),( 0.09),(0.06),( 0.23),(0.44),-,-,-,-
Clean Max Galapagos Private Limited,( 0.23),(0.43),( 0.12),(0.08),( 0.20),(0.39),-,-,-,-
Clean Max Teton Private Limited,( 4.53),(8.61),( 0.09),(0.06),( 0.07),(0.14),-,-,-,-
Clean Max Urjit LLP,0.62,1.18,( 0.18),(0.12),( 0.57),(1.11),-,-,-,-
Clean Max Ekaiva Private Limited,( 0.23),(0.44),( 0.15),(0.10),( 0.12),(0.24),-,-,-,-
Jagalur Green Energy Power Supply Private Limited,( 0.03),(0.06),( 0.38),(0.25),( 0.25),(0.49),-,-,-,-
Clean Max Jasper Private Limited,( 0.62),(1.17),( 0.20),(0.13),( 0.15),(0.29),-,-,-,-
Clean Max Anchorage Private Limited,3.75,7.12,( 0.20),(0.13),( 0.14),(0.28),-,-,-,-
Clean Max Kenai Private Limited,( 0.02),(0.04),( 0.20),(0.13),( 0.09),(0.17),-,-,-,-
Clean Max Yosemite Private Limited,7.36,13.98,( 0.17),(0.11),( 0.13),(0.25),-,-,-,-
Clean Max Prapati Private limited,( 0.18),(0.35),( 0.20),(0.13),( 0.14),(0.27),-,-,-,-
Clean Max Serengeti Private Limited,( 2.09),(3.97),( 0.20),(0.13),( 0.34),(0.66),-,-,-,-
Clean Max Zion Private limited,0.37,0.71,( 0.20),(0.13),( 1.99),(3.86),-,-,-,-
Clean Max Patagonia Private limited,( 4.24),(8.06),( 0.20),(0.13),( 0.37),(0.71),-,-,-,-
Surya Energy Photo Voltaic India Private Limited,( 0.25),(0.48),-,-,8 8.45,171.85,-,-,-,-
VEH Green Energy Private Limited,( 0.91),(1.73),-,-,( 0.48),(0.93),-,-,-,-
Clean Max Nevada Private Limited,( 0.16),(0.30),-,-,-,-,-,-,-,-
Clean Max Tasman Private Limited,0.35,0.67,-,-,-,-,-,-,-,-
Clean Max Banff Private Limited,( 0.53),(1.01),-,-,-,-,-,-,-,-
Clean Max Kruger Private Limited,( 0.12),(0.22),-,-,-,-,-,-,-,-
Clean Max Pacific Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Polar Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Sierra Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Solomon Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Atlantic Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Tahoe Private Limited,( 0.35),(0.66),-,-,-,-,-,-,-,-
Clean Max Albatross Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Solstice Private Limited,( 0.38),(0.72),-,-,-,-,-,-,-,-
Clean Max Karakoram Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Adriatic Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Arctic Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Amalfi Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Petra Private Limited,( 0.30),(0.57),-,-,-,-,-,-,-,-
Clean Max Kilimanjaro Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Fuji Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Iguazu Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Azores Private Limited,( 0.35),(0.67),-,-,-,-,-,-,-,-
Clean Max Lapland Private Limited,( 0.02),(0.04),-,-,-,-,-,-,-,-
Clean Max Louise Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Como Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Laguna Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Peyto Private Limited,( 0.35),(0.67),-,-,-,-,-,-,-,-
Clean Max Moraine Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Emerald Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Victoria Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Ahar Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Aranyam Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Hana Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),
,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Enviro Energy Solutions Private Limited) (Parent Company)",541.47,"3,719.88",537.52,809.08,"1,361.04","2,980.67",(746.48),"2 ,824.76",( 220.44),"1,320.48"
(II) (a) Indian subsidiaries:,,,,,,,,,,
Clean Max Alchemy Private Limited,(0.16),(1.13),0.09,0.13,0.51,1.12,0.90,( 3.42),-,-
Clean Max Bloom Private Limited,(0.14),(0.98),(0.08),(0.12),(0.17),(0.38),0.07,( 0.25),-,-
Clean Max Cads Private Limited,(0.06),(0.38),(0.04),(0.06),(0.11),(0.23),0.07,( 0.25),-,-
Clean Max Celeste Private Limited,(0.34),(2.32),(5.04),(7.59),(0.68),(1.48),0.50,( 1.90),-,-
Clean Max DOS Private Limited,1.32,9.05,(0.65),(0.98),1.73,3.79,0.04,( 0.17),-,-
Clean Max Eliora Private Limited,4.57,31.42,(10.18),( 15.32),(21.95),( 48.06),0.11,( 0.42),-,-
Clean Max Galaxy Private Limited,(0.01),(0.07),(0.01),(0.01),(0.07),(0.15),0.06,( 0.22),-,-
Clean Max Mirage Private Limited,2.32,15.95,3.53,5.32,(10.42),( 22.83),0.07,( 0.28),-,-
Clean Max Prithvi Private Limited,(0.13),(0.89),(0.04),(0.06),(0.25),(0.55),0.06,( 0.21),-,-
Clean Max Ruby Private Limited,(1.34),(9.19),(0.05),(0.08),(0.13),(0.28),0.05,( 0.20),-,-
Clean Max Opus Private Limited,(0.77),(5.29),2.68,4.04,(14.16),( 31.02),0.66,( 2.50),-,-
Clean Max Terra Private Limited,(6.37),( 43.79),4.33,6.52,(5.97),( 13.07),4.16,( 15.74),-,-
Clean Max Arcadia Private Limited,0.94,6.43,(4.37),(6.58),(1.74),(3.80),0.03,( 0.11),-,-
