Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Fractal Analytics (Shanghai) Ltd,"Fractal Analytics Inc, USA",Revenue from operation,2,6,5,29,15
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,1,1
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,0,3
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,-,-,3,-
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,3,-
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,1,3
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sundry balance written Back,-,-,20,-,-
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,"Redemption of Investments in equity instruments in
subsidiary (Assets)",-,-,0,-,-
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,Investment in equity shares of subsidiary company,-,-,-,-,0
Theremin AI Solutions Private Limited,Mr. Hemant Kothavade,"Expenses incurred for the company to(creating payable
position)",-,-,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,2,8
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,4,4,-,10
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,4,4,10,17
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,0,0,0,1
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,0,0,1,-
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,5,7
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Repayment of debentures,-,-,-,92,-
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Sundry balance written Back,-,-,53,-,-
Eugenie Technologies Private Limited,Qure.ai Technologies Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
Eugenie Technologies Private Limited,Eugenie.ai Inc,Revenue from operation,-,7,7,68,108
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Revenue from operation,-,-,1,-,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,17,17,153,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,23,42
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Sundry Balances Write Back,-,-,98,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Cost of delivery,-,7,8,68,106
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",2,4,5,9,5
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",1,0,0,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",44,26,52,52,27
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Revenue from operation,313,188,400,311,242
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Cost of delivery,7,-,13,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Deemed capital contribution,1,0,1,1,-
