Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Neal Analytics LLC,"Fractal Analytics Inc, USA",Inter company recruitment service given,-,-,-,-,17
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics FZ LLC,Deemed Investment in subsidiary company,2,-,-,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,2,-,-,-,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics UK Limited, UK","Expenses incurred for the company to(creating payable
position)",1,-,-,-,-
Senseforth AI Research Private Limited,"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of expenses from (creating receivable
position)",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Senseforth AI Research Private Limited,"Expenses incurred for the company to(creating payable
position)",0,-,-,-,-
"Fractal Analytics UK Limited, UK","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Reimbursement of expenses from (creating receivable
position)",1,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA","Reimbursement of common expenses from (creating
receivable position)",0,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cost of delivery,-,-,9,-,-
"Fractal Analytics Inc, USA","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Expenses incurred for the company to(creating payable
position)",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Australia Pty Limited,Revenue from operation,17,-,-,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA",Cost of delivery,17,-,-,-,-
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,Cost of delivery,19,-,-,-,-
Final Mile Consulting LLC,"Fractal Analytics Inc, USA",Revenue from operation,19,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,Revenue from operation,14,-,-,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Cost of delivery,14,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,Deemed Investment in subsidiary company,0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,"Provision for impairment of trade, unbilled and other
receivables",0,-,-,-,-
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,"Provision for impairment of trade, unbilled and other
receivables",19,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Reversal of deemed investment in subsidiary company,1,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Reversal of deemed capital contribution,1,-,-,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA",Revenue from operation,23,-,22,-,-
"Analytics Vidhya Inc., USA",Analytics Vidhya Educon Private Limited,Cost of delivery,23,-,22,-,-
