Clean Max Galapagos Private Limited,-,(0.71),-,0.02,-,(0.29),-,-,-,-
Clean Max Teton Private Limited,0.93,315.68,-,0.04,-,(0.04),-,-,-,-
Clean Max Urjit LLP,0.15,50.07,-,(0.11),0 .15,48.89,-,-,-,-
Clean Max Ekaiva Private Limited,0.09,29.63,-,-,0 .09,30.07,-,-,-,-
Jagalur Green Energy Power Supply Private Limited,-,(0.45),-,(0.15),-,(0.39),-,-,-,-
Clean Max Jasper Private Limited,0.62,210.67,-,(0.03),0 .66,211.85,-,-,-,-
Clean Max Anchorage Private Limited,0.40,136.30,-,(0.03),0 .40,129.18,-,-,-,-
Clean Max Kenai Private Limited,-,(0.12),-,(0.03),-,(0.07),-,-,-,-
Clean Max Yosemite Private Limited,0.43,147.00,-,(0.01),-,(0.15),-,-,-,-
Clean Max Prapati Private limited,0.07,24.79,-,(0.03),0 .08,25.14,-,-,-,-
Clean Max Serengeti Private Limited,0.50,170.52,0.65,175.04,0 .54,174.50,-,-,-,-
Clean Max Zion Private limited,0.81,276.08,-,(0.03),0 .86,275.37,-,-,-,-
Clean Max Patagonia Private limited,1.49,505.27,-,(0.03),1 .60,513.32,-,-,-,-
Surya Energy Photo Voltaic India Private Limited,1.27,430.62,0.97,258.94,1 .34,430.80,-,-,-,-
VEH Green Energy Private Limited,0.12,39.14,-,-,0 .13,40.58,-,-,-,-
Clean Max Nevada Private Limited,-,(0.20),-,-,-,-,-,-,-,-
Clean Max Tasman Private Limited,-,0.77,-,-,-,-,-,-,-,-
Clean Max Banff Private Limited,-,(0.91),-,-,-,-,-,-,-,-
Clean Max Kruger Private Limited,-,(0.12),-,-,-,-,-,-,-,-
Clean Max Pacific Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Polar Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Sierra Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Solomon Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Atlantic Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Tahoe Private Limited,-,(0.56),-,-,-,-,-,-,-,-
Clean Max Albatross Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Solstice Private Limited,-,(0.62),-,-,-,-,-,-,-,-
Clean Max Karakoram Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Adriatic Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Arctic Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Amalfi Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Petra Private Limited,-,(0.47),-,-,-,-,-,-,-,-
Clean Max Kilimanjaro Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Fuji Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Iguazu Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Azores Private Limited,-,(0.57),-,-,-,-,-,-,-,-
Clean Max Lapland Private Limited,-,0.06,-,-,-,-,-,-,-,-
Clean Max Louise Private Limited,-,0.05,-,-,-,-,-,-,-,-
