"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),Nature,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
22,Clean Max Genesis Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,6 59.41,8 09.41,-,-
23,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 15.30,2 15.30,7 24.66,3 30.00
24,Clean Max Hybrid Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 21.50,1 21.50,-,-
25,Clean Max Hyperion Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,1 3.00,3 67.00
26,Clean Max Infinia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,7 3.90,7 3.90,-,-
27,Clean Max IPP1 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,4 32.75,-
28,Clean Max Khanak Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,2 58.50
29,Clean Max Kratos Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,1 75.00,"3 ,102.00",7 46.49
30,Clean Max Light Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 26.00,1 26.00,1 25.00,-
31,Clean Max Matahari Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,219.26,-,9 7.50,3 20.61,-
32,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 0.00,-,"1 ,783.78","2 ,126.22"
33,Clean Max Maya Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 96.60,1 96.60,-,-
34,Clean Max Meridius Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 71.57,1 71.57,2 66.76,-
35,Clean Max Mirage Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,6 46.30,7 55.20,4 00.00,-
36,Clean Max Nabia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,279.95,-,1 16.20,-,-
37,Clean Max Nova Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,1 05.00,-,-
38,Clean Max Opus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,2 53.70,8 17.04,-
39,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,4 4.60,1 20.00
40,Clean Max Pluto Solar Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,7 70.00
41,Clean Max Plutus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,1 00.00,-
42,Clean Max Power 3 LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,"2 ,521.00"
43,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,570.00,9 0.30,2 05.44,2 37.50,1 70.00
44,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,540.00,9 9.70,9 9.70,4 19.76,1 70.00
45,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,858.40,-,"1 ,440.00",-,-
46,Clean Max Saura Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,2 16.10,-
47,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,80.25,-,-,7 96.50,8 91.88
48,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 8.30,-,-,-
49,Clean Max Sirius Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 40.70,1 40.70,-,-
50,Clean Max Taiyo Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 08.10,-
51,Clean Max Tav Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,2 56.76,-
52,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,5 60.00,"1 ,180.00",-,-
53,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 71.57,1 71.57,2 66.76,-
54,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,6 28.80,6 28.80,"1 ,316.80","2 ,080.00"
55,Clean Max Thennal Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,1 89.08,-
