Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
Clean Max Regulus Power LLP,( 0.01),(0.02),( 0.02),(0.01),0 .03,0.06,0.01,( 0.05),0.01,(0.07)
Clean Max Scorpius Power LLP,9.52,18.09,18.72,12.20,2 .74,5.33,(3.31),12.45,(0.57),3.38
Clean Max Suryamukhi LLP,( 0.02),(0.03),( 0.06),(0.04),( 0.07),(0.13),0.04,( 0.14),0.04,(0.21)
Clean Max Vega Power LLP,13.61,25.86,31.39,20.46,2 .84,5.52,0.40,( 1.52),0.02,(0.14)
Clean Max Venus Power LLP,( 0.01),(0.01),( 0.03),(0.02),( 0.03),(0.05),0.01,( 0.04),0.01,(0.06)
Clean Max Auriga Power LLP,1.27,2.42,5.25,3.42,-,-,0.24,( 0.89),0.24,(1.43)
Clean Max Fusion Power LLP,( 1.98),(3.77),( 5.37),(3.50),( 1.23),(2.39),0.02,( 0.07),0.01,(0.05)
Clean Max Solstice Power LLP#,-,-,-,-,-,-,-,-,(0.05),0.28
Clean Max IPP 3 Power LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.05),0.01,( 0.05),0.01,(0.06)
Clean Max Power 3 LLP,64.70,122.96,102.16,66.59,3 2.99,64.09,(30.10),113.32,(3.86),22.94
Clean Max Apollo Power LLP,( 0.14),(0.26),( 0.05),(0.03),( 0.05),(0.10),0.03,( 0.13),0.02,(0.11)
Clean Max Light Power LLP,( 0.48),(0.91),( 5.57),(3.63),( 7.49),( 14.56),3.20,( 12.03),0.02,(0.11)
Clean Max Agni 2 Power LLP#,-,-,-,-,-,-,-,-,(0.02),0.11
Clean Max Helios Power LLP@,-,-,-,-,-,-,-,-,(0.02),0.11
