"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
50,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,3 41.21,335.51,241.41,-
51,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,3 33.12,327.56,241.41,-
52,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,330.00
53,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,270.00,1 68.91,166.00,122.59,-
54,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,270.00,1 67.47,164.58,122.59,-
55,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,170.00
56,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,265.00,1 79.17,177.48,232.73,-
57,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,164.00,-,-,-,170.00
58,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,141.00,1 33.33,131.08,-,-
59,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 79.17,176.17,8 7.44,-
60,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,1 57.53,154.89,8 7.44,-
61,Clean Max Meridius Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 77.01,174.12,87.51,-
62,Clean Max Meridius Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,1 60.06,157.45,87.46,-
63,Clean Max Astria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,267.50,1 74.17,172.39,174.98,-
64,Clean Max Astria Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,267.50,1 38.64,136.38,-,-
65,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 54.07,-,157.69,-
66,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,120.00
67,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,"3,492.59","3,650.53","3,557.76","3,396.80","2,080.00"
68,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,329.01,3 43.89,335.15,-,-
69,Clean Max TAV Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 49.21,-,253.42,-
70,Clean Max Arnav Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,3 80.21,-,389.21,-
71,Clean Max Plutus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,9 6.05,-,98.10,-
72,Clean Max Light Power LLP,Clean Max Enviro Energy Solutions Limited,Northern Arc Capital Limited,121.65,-,-,63.64,-
73,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,87.50,-,-,63.64,-
74,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,114.99,1 18.62,116.82,-,-
75,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,87.50,-,-,-,-
76,Clean Max Taiyo Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 93.23,-,300.15,-
77,Clean Max Thennal Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 84.69,-,189.08,-
78,Clean Max Saura Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 11.96,-,216.10,-
79,Clean Max Matahari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,219.26,3 14.01,97.50,320.61,-
80,Clean Max Matahari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,128.00,-,-,-,-
81,Clean Max Balam Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,3 22.50,318.37,220.00,-
82,Clean Max Mirage Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,597.12,6 10.90,605.71,400.00,-
83,Clean Max Mirage Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,537.12,4 35.40,544.30,-,-
84,Clean Max Uranus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,8 56.80,842.49,630.00,-
85,Clean Max Opus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,"1,046.13",8 17.03,"1,062.53",817.04,-
86,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Standard Chartered Bank,342.65,5 60.00,346.81,-,-
