Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
Clean Max Uranus Private Limited,2.86,5.43,11.57,7.54,( 7.05),( 13.70),(0.21),0 .80,-,-
Clean Max Uno Private Limited,( 0.33),(0.63),( 0.63),(0.41),( 0.58),(1.13),0.05,( 0.17),-,-
Hem Urja LLP,( 1.08),(2.05),5.58,3.64,4 .74,9.20,4.12,( 15.52),-,(0.02)
Clean Max Ajanta Private Limited,( 0.08),(0.16),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Alps Private Limited,( 0.05),(0.10),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Andes Private Limited,( 0.93),(1.76),-,-,( 0.12),(0.24),-,-,-,-
Clean Max Centaurus Private Limited,( 1.47),(2.79),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Denali Private Limited,( 0.04),(0.07),-,-,( 0.35),(0.68),-,-,-,-
Clean Max Draco Private Limited,( 0.35),(0.67),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Everest Private Limited,( 0.03),(0.06),-,-,( 0.36),(0.69),-,-,-,-
Clean Max Everglades Private Limited,( 0.13),(0.25),-,-,( 0.12),(0.23),-,-,-,-
Clean Max Ganga Private Limited,( 0.55),(1.04),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Godavari Private Limited,( 0.57),(1.08),-,-,( 0.22),(0.42),-,-,-,-
Clean Max Hydra Private Limited,( 0.25),(0.47),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Indus Private Limited,( 0.09),(0.17),-,-,( 0.07),(0.13),-,-,-,-
Clean Max Kanha Private Limited,( 0.23),(0.44),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Kaveri Private Limited,-,-,-,-,( 0.06),(0.11),-,-,-,-
