"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
107,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,117.50,-,-,-,-
108,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,117.50,-,-,-,-
109,Clean Max Nova Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,105.00,-,105.00,-,-
110,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,135.00,-,135.00,-,-
111,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,247.44,-,-,-,-
112,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,640.88,-,-,-,-
113,Clean Max Dos Private Limited,Clean Max Enviro Energy Solutions Limited,RBL Bank Limited,237.61,-,120.00,-,-
114,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"2,308.30",-,"1,440.00",-,-
115,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,858.40,-,-,-,-
116,Clean Max Eliora Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"2,348.00","1,682.30","2,108.80",-,-
117,Clean Max Eliora Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"1,257.20","1,202.90","1,270.00",-,-
118,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,Global Climate Partnership (THB),-,7 75.20,737.51,707.14,318.12
119,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,International Finance Corporation,"2,141.29",-,-,-,-
120,Cleanmax Alpha LeaseCo FZCO,Clean Max Enviro Energy Solutions Limited,HSBC BANK MIDDLE EAST LIMITED,"2,050.67","1,055.81","1,973.76",-,-
121,Cleanmax Alpha LeaseCo FZCO,Clean Max Enviro Energy Solutions Limited,National Bank of Fujairah,-,-,-,"1,119.06","1,176.29"
122,Clean Max Auriga Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,403.87
123,Clean Max Khanak Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,255.14
124,Clean Max Photovoltaic Private Limited,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,-,-,-,-,"1,181.42"
125,Clean Max Mercury Power Private Limited,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,-,-,-,-,"1,195.68"
126,Clean Max IPP 2 Private Limited,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,"1,172.19"
127,KAS On Site Power Solutions LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,471.28
128,KAS On Site Power Solutions LLP,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,478.82
129,Clean Max Power Projects Private Limited,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,754.11
130,Clean Max Ame Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,278.00,-,-,-,-
131,Clean Max Aurora Private Limited,Clean Max Enviro Energy Solutions Limited,RBL Bank Limited,179.00,-,-,-,-
132,Clean Max Banff Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,201.60,-,-,-,-
133,Clean Max Beta Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,468.10,-,-,-,-
134,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,221.25,-,-,-,-
135,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,221.25,-,-,-,-
136,Clean Max Bryce Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,174.16,-,-,-,-
137,Clean Max Celestial Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"4,485.99",-,-,-,-
138,Clean Max Centaurus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,408.50,-,-,-,-
139,Clean Max Everglades Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,503.03,-,-,-,-
140,Clean Max Fragma Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,283.96,-,-,-,-
141,Clean Max Ganga Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,"1,012.50",-,-,-,-
142,Clean Max Godavari Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,290.00,-,-,-,-
143,Clean Max IPP4 Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,358.88,-,-,-,-
144,Clean Max Kruger Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,415.13,-,-,-,-
145,Clean Max Patagonia Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,700.00,-,-,-,-
146,Clean Max Serengeti Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,219.60,-,-,-,-
147,Clean Max Sierra Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,157.50,-,-,-,-
148,Clean Max Taurus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,960.00,-,-,-,-
149,Clean Max Vital Energy LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,407.33
,Total Corporate Guarantee,,,"5 7,921.62","43,960.59","4 8,260.95","34,682.81","31,315.33"
